H (A/m),T (K),File,cluster_ae,cluster_vae
0.0,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0001.vti,3,1
7957.747150262763,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0002.vti,3,1
15915.49430052553,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0003.vti,3,1
23873.24145078829,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0004.vti,3,1
31830.98860105105,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0005.vti,3,1
39788.73575131382,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0006.vti,3,1
47746.48290157657,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0007.vti,3,1
55704.23005183935,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0008.vti,0,1
63661.97720210211,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0009.vti,0,1
71619.72435236486,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0010.vti,0,1
79577.47150262764,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0011.vti,0,1
87535.2186528904,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0012.vti,0,1
95492.96580315314,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0013.vti,0,1
103450.7129534159,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0014.vti,0,1
111408.4601036787,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0015.vti,0,1
119366.2072539414,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0016.vti,0,1
127323.9544042042,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0017.vti,0,1
135281.701554467,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0018.vti,0,1
143239.4487047297,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0019.vti,0,1
151197.1958549925,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0020.vti,0,1
159154.9430052553,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0021.vti,0,1
167112.690155518,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0022.vti,0,1
175070.4373057808,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0023.vti,0,1
183028.1844560436,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0024.vti,0,1
190985.9316063063,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0025.vti,0,1
198943.6787565691,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0026.vti,0,1
206901.4259068318,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0027.vti,5,0
214859.1730570946,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0028.vti,5,0
222816.9202073574,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0029.vti,5,0
230774.6673576201,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0030.vti,5,0
238732.4145078829,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0031.vti,5,0
246690.1616581456,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0032.vti,5,0
